t_recv,kind,type,name,detail
10.1457,Job,MODIFIED,eval-wallcheck-r0-09,
10.1549,Job,MODIFIED,eval-wallcheck-r0-09,
10.3289,Job,MODIFIED,eval-wallcheck-r0-01,
10.3329,Job,MODIFIED,eval-wallcheck-r0-01,
10.3375,Event,ADDED,eval-wallcheck-r0-01.18d3c56761d96ef4,reason=Completed count=1 msg=Job completed
10.3441,Job,MODIFIED,eval-wallcheck-r0-01,
10.3489,TaskRequest,MODIFIED,eval-wallcheck-r0-01,phase=Complete job=None
10.3584,Job,MODIFIED,eval-wallcheck-r0-01,
10.4253,Event,MODIFIED,eval-wallcheck-r0-09-ftzjf.18d3c56742d1c673,"reason=FailedScheduling count=None msg=0/6 nodes are available: 1 node(s) had untolerated taint(s), 5 c_wall violated: 1 conflicting context pair(s) with node memory. no new claims to deallocate, preemption: 0/6 nodes are available: 1 Preemption is not helpful for scheduling, 5 No preemption victims found for incoming pod."
10.9736,Job,MODIFIED,eval-wallcheck-r0-04,
10.9808,Job,MODIFIED,eval-wallcheck-r0-03,
10.9864,Job,MODIFIED,eval-wallcheck-r0-04,
10.9895,Pod,MODIFIED,eval-wallcheck-r0-03-hrqs8,phase=Succeeded node=kind-worker3
10.9908,Job,MODIFIED,eval-wallcheck-r0-03,
11.0063,Job,MODIFIED,eval-wallcheck-r0-02,
11.0105,Job,MODIFIED,eval-wallcheck-r0-02,
11.0156,Event,ADDED,eval-wallcheck-r0-02.18d3c5678a3e13f4,reason=Completed count=1 msg=Job completed
11.0221,Job,MODIFIED,eval-wallcheck-r0-02,
11.0281,TaskRequest,MODIFIED,eval-wallcheck-r0-02,phase=Complete job=None
11.0385,Job,MODIFIED,eval-wallcheck-r0-02,
11.1153,Pod,MODIFIED,eval-wallcheck-r0-04-qkjkp,phase=Succeeded node=kind-worker5
11.9827,Job,MODIFIED,eval-wallcheck-r0-04,
11.9862,Job,MODIFIED,eval-wallcheck-r0-03,
11.9902,Job,MODIFIED,eval-wallcheck-r0-03,
11.9934,Pod,MODIFIED,eval-wallcheck-r0-04-qkjkp,phase=Succeeded node=kind-worker5
11.9949,Job,MODIFIED,eval-wallcheck-r0-04,
11.9972,Event,ADDED,eval-wallcheck-r0-03.18d3c567c4a1ef86,reason=Completed count=1 msg=Job completed
12.0126,Job,MODIFIED,eval-wallcheck-r0-03,
12.0191,TaskRequest,MODIFIED,eval-wallcheck-r0-03,phase=Complete job=None
12.0306,Job,MODIFIED,eval-wallcheck-r0-03,
12.9908,Job,MODIFIED,eval-wallcheck-r0-04,
12.9965,Job,MODIFIED,eval-wallcheck-r0-04,
13.0016,Event,ADDED,eval-wallcheck-r0-04.18d3c568009218b2,reason=Completed count=1 msg=Job completed
13.0071,Job,MODIFIED,eval-wallcheck-r0-04,
13.0131,TaskRequest,MODIFIED,eval-wallcheck-r0-04,phase=Complete job=None
13.0246,Job,MODIFIED,eval-wallcheck-r0-04,
16.3578,Node,MODIFIED,kind-worker,taints=1
